"beach20","04-21-2021 13:47:34","clicked misc_up button","1"
"beach20","04-21-2021 13:47:36","opened education section","1"
"beach20","04-21-2021 13:47:42","clicked education_q button","1"
"beach20","04-21-2021 13:47:44","clicked education_up button","1"
"beach30","04-08-2021 10:17:50","entered website","1"
"beach33","3/17/2021, 09:03:20","entered website","1"
"beach33","3/17/2021, 09:03:30","opened education section","1"
"beach33","3/17/2021, 09:03:36","clicked education_up button","1"
"beach33","3/17/2021, 09:03:37","opened work section","1"
"beach33","3/17/2021, 09:04:16","opened education section","1"
"beach33","3/17/2021, 09:04:17","opened education section","1"
"beach53","04-09-2021 22:13:34","entered website","1"
"beach53","04-09-2021 22:15:49","clicked misc_up button","1"
"beach53","04-09-2021 22:14:06","opened education section","1"
"beach53","04-09-2021 22:14:39","opened work section","1"
"beach53","04-09-2021 22:15:16","clicked work1_up button","1"
"beach53","04-09-2021 22:15:17","clicked work2_up button","1"
"beach53","04-09-2021 22:15:22","opened education section","1"
"beach53","04-09-2021 22:15:24","clicked education_up button","1"
"beach53","04-09-2021 22:15:25","clicked notes_up button","1"
"beach53","04-09-2021 22:15:31","opened misc section","1"
"beach71","04-14-2021 11:14:27","entered website","1"
"beach71","04-14-2021 11:14:30","opened misc section","1"
"beach71","04-14-2021 11:14:33","opened work section","1"
"beach71","04-14-2021 11:14:37","clicked work2_q button","1"
"beach71","04-14-2021 11:14:40","clicked work1_q button","1"
"beach79","04-15-2021 16:30:44","entered website","1"
"beach79","04-15-2021 16:31:04","opened education section","1"
"beach79","04-15-2021 16:31:20","clicked education_q button","1"
"beach79","04-15-2021 16:31:25","opened work section","1"
"beach79","04-15-2021 16:31:47","clicked work1_down button","1"
"beach79","04-15-2021 16:32:01","clicked work2_down button","1"
"beach79","04-15-2021 16:32:07","opened misc section","1"
"beach79","04-15-2021 16:32:25","clicked misc_q button","1"
"beach81","04-14-2021 11:34:42","entered website","1"
"beach81","04-14-2021 11:35:13","opened misc section","1"
"beach81","04-14-2021 11:35:14","clicked misc_up button","1"
"beach81","04-14-2021 11:35:30","opened education section","1"
"beach81","04-14-2021 11:34:56","clicked notes_up button","1"
"beach81","04-14-2021 11:34:56","unclicked notes_up button","1"
"beach81","04-14-2021 11:34:58","clicked notes_up button","1"
"beach81","04-14-2021 11:34:59","opened education section","1"
"beach81","04-14-2021 11:35:02","opened work section","1"
"beach81","04-14-2021 11:35:07","clicked work1_q button","1"
"beach81","04-14-2021 11:35:09","clicked work1_up button","1"
"beach81","04-14-2021 11:35:11","clicked work2_up button","1"
"beach88","03-18-2021 20:50:27","entered website","1"
"bike1","04-11-2021 12:34:19","entered website","1"
"bike1","04-11-2021 12:35:20","opened misc section","1"
