code,candidate,woman,parent
tire71,2,Woman,Non-parent
tire78,2,Man,Parent
tire79,2,Woman,Parent
tire8,2,Woman,Non-parent
tire80,2,Woman,Non-parent
tire85,2,Woman,Parent
tire89,2,Woman,Parent
traffic11,2,Woman,Parent
traffic14,2,Woman,Parent
traffic15,2,Woman,Non-parent
traffic17,2,Man,Parent
traffic20,2,Woman,Non-parent
traffic21,2,Woman,Parent
traffic29,2,Man,Parent
traffic3,2,Man,Non-parent
traffic56,2,Woman,Non-parent
traffic6,2,Woman,Parent
traffic63,2,Woman,Parent
traffic7,2,Man,Parent
